rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
1,0 days 00:00:53.930000,"[0, 1]",Men 100 Backstroke,ROUSE Jeff,USA,1991,53.93
2,0 days 00:00:54.670000,,Men 100 Backstroke,ROUSE Jeff,USA,1991,54.67
3,0 days 00:00:54.900000,,Men 100 Backstroke,ROUSE Jeff,USA,1991,54.9
4,0 days 00:00:55.190000,"[0, 16]",Men 100 Backstroke,TEWKSBURY Mark,CAN,1991,55.19
5,0 days 00:00:55.230000,"[0, 16]",Men 100 Backstroke,ROUSE Jeff,USA,1991,55.23
6,0 days 00:00:55.280000,,Men 100 Backstroke,ROUSE Jeff,USA,1991,55.28
7,0 days 00:00:55.290000,,Men 100 Backstroke,TEWKSBURY Mark,CAN,1991,55.29
8,0 days 00:00:55.300000,,Men 100 Backstroke,LOPEZ-ZUBERO Martin,ESP,1991,55.3
9,0 days 00:00:55.340000,"[0, 16]",Men 100 Backstroke,ROUSE Jeff,USA,1991,55.34
10,0 days 00:00:55.480000,,Men 100 Backstroke,TEWKSBURY Mark,CAN,1991,55.48
1,0 days 00:01:01.290000,"[0, 1]",Men 100 Breaststroke,ROZSA Norbert,HUN,1991,61.29
2,0 days 00:01:01.450000,"[0, 131072]",Men 100 Breaststroke,IVANOV Vasily,RUS,1991,61.45
2,0 days 00:01:01.450000,"[0, 1]",Men 100 Breaststroke,ROZSA Norbert,HUN,1991,61.45
4,0 days 00:01:01.490000,,Men 100 Breaststroke,ROZSA Norbert,HUN,1991,61.49
4,0 days 00:01:01.490000,"[0, 131072]",Men 100 Breaststroke,ROZSA Norbert,HUN,1991,61.49
6,0 days 00:01:01.580000,,Men 100 Breaststroke,MOORHOUSE Adrian,GBR,1991,61.58
7,0 days 00:01:01.740000,,Men 100 Breaststroke,MINERVINI Gianni,ITA,1991,61.74
8,0 days 00:01:01.790000,,Men 100 Breaststroke,VOLKOV Dmitry,URS,1991,61.79
9,0 days 00:01:01.880000,,Men 100 Breaststroke,MOORHOUSE Adrian,GBR,1991,61.88
9,0 days 00:01:01.880000,,Men 100 Breaststroke,MOORHOUSE Adrian,GBR,1991,61.88
1,0 days 00:00:53.290000,"[0, 16]",Men 100 Butterfly,NESTY Anthony,SUR,1991,53.29
2,0 days 00:00:53.310000,,Men 100 Butterfly,GROSS Michael,GER,1991,53.31
3,0 days 00:00:53.450000,"[0, 16]",Men 100 Butterfly,NESTY Anthony,SUR,1991,53.45
4,0 days 00:00:53.720000,,Men 100 Butterfly,NESTY Anthony,SUR,1991,53.72
5,0 days 00:00:53.740000,,Men 100 Butterfly,KULIKOV Vyacheslav,URS,1991,53.74
6,0 days 00:00:53.810000,,Men 100 Butterfly,HENDERSON Mark,USA,1991,53.81
7,0 days 00:00:53.880000,,Men 100 Butterfly,HENDERSON Mark,USA,1991,53.88
8,0 days 00:00:53.890000,,Men 100 Butterfly,GERY Marcel,CAN,1991,53.89
9,0 days 00:00:53.930000,,Men 100 Butterfly,GERY Marcel,CAN,1991,53.93
10,0 days 00:00:53.970000,,Men 100 Butterfly,BIONDI Matt,USA,1991,53.97
1,0 days 00:00:49.180000,,Men 100 Freestyle,POPOV Alexander,URS,1991,49.18
1,0 days 00:00:49.180000,,Men 100 Freestyle,BIONDI Matt,USA,1991,49.18
3,0 days 00:00:49.480000,"[0, 16]",Men 100 Freestyle,FRANCA BORGES Gustavo,BRA,1991,49.48
4,0 days 00:00:49.510000,,Men 100 Freestyle,BIONDI Matt,USA,1991,49.51
5,0 days 00:00:49.520000,,Men 100 Freestyle,RUDOLPH Nils,GER,1991,49.52
6,0 days 00:00:49.570000,,Men 100 Freestyle,LAMBERTI Giorgio,ITA,1991,49.57
7,0 days 00:00:49.590000,,Men 100 Freestyle,BIONDI Matt,USA,1991,49.59
8,0 days 00:00:49.630000,,Men 100 Freestyle,WERNER Tommy,SWE,1991,49.63
9,0 days 00:00:49.720000,,Men 100 Freestyle,BIONDI Matt,USA,1991,49.72
10,0 days 00:00:49.790000,,Men 100 Freestyle,GUNZEL Silko,GER,1991,49.79
1,0 days 00:14:50.360000,"[0, 1]",Men 1500 Freestyle,HOFFMANN Joerg,GER,1991,890.36
2,0 days 00:14:50.580000,,Men 1500 Freestyle,PERKINS Kieren,AUS,1991,890.58
