year,Men 100 Backstroke,Men 100 Breaststroke,Men 100 Butterfly,Men 100 Freestyle,Men 1500 Freestyle,Men 200 Backstroke,Men 200 Breaststroke,Men 200 Butterfly,Men 200 Freestyle,Men 200 Medley,Men 400 Freestyle,Men 400 Medley,Men 50 Freestyle,Women 100 Backstroke,Women 100 Breaststroke,Women 100 Butterfly,Women 100 Freestyle,Women 200 Backstroke,Women 200 Breaststroke,Women 200 Butterfly,Women 200 Freestyle,Women 200 Medley,Women 400 Freestyle,Women 400 Medley,Women 50 Freestyle,Women 800 Freestyle,Average
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,-1.022502316,0.256476852,-0.003724464,-0.07876083,-0.20415367,0.015920898,0.024911113,-0.081973447,-0.806005386,-0.421785119,-0.792714,0.225793391,0.219878842,-0.391367187,-0.594690876,-1.038523729,-1.212241295,-0.354455521,-1.76538459,-0.2834706,-0.857674233,-0.582679142,-0.272134826,-0.140610703,-1.260210035,0.462535414,-0.421520979
1993,0.606599953,0.4399065,0.297957131,0.416018741,1.218725484,0.20361991,1.49919605,1.052978509,0.250839205,0.325775666,0.2683032,1.020352549,1.889163114,0.41572614,0.474028959,0.691793495,0.162112506,1.109965242,0.164733658,1.071059184,-0.508128394,0.268815219,0.007559301,0.181239423,0.404511863,0.650562712,0.560900589
1994,0.750077187,0.352249854,0.247676865,-0.102994931,-0.131676351,0.086308027,1.066648549,0.309301874,0.239772769,-0.242075117,-0.262640957,-0.127300757,1.364146287,-1.265041654,-0.419443806,-0.325059594,-1.262676297,-0.341469004,-1.514615944,-0.552384601,-1.154082463,-0.093051422,0.120550954,0.025437112,-1.645274212,0.047349226,-0.185779554
1995,0.314196982,0.405817804,-0.901320323,-0.048468203,1.145252293,0.554717614,1.450128707,-0.027887874,0.612342764,-0.337263977,0.491308457,0.226961288,1.059008302,0.721025025,-0.135026431,0.451749487,0.280995011,0.371261602,-0.95372118,0.583796208,0.295577955,0.426116432,-0.187391086,0.673730176,-0.509529366,0.940723465,0.30400389
1996,-0.141661067,-0.446399584,-1.305424682,-0.785588788,0.71968318,0.206971678,1.123264715,-0.412402498,-0.097753514,-0.599853934,0.191209586,-0.00389299,0.489118241,0.743760048,-1.547058148,-0.366733901,-0.491741268,0.679882357,-1.732037695,-0.300325608,-0.689958652,-0.070157818,-0.760704368,0.002826346,-1.796966161,0.476427129,-0.265981438
1997,0.724650842,0.556782027,-1.338944859,0.141365592,1.495356472,0.310876487,1.604124676,-0.143664805,0.341215095,0.118165481,0.172480629,0.986872839,1.171191384,0.089316163,-1.068719835,-0.635116438,-0.007205,1.229899545,-1.171809869,0.072782992,-0.206738513,-0.540584452,-0.223596158,0.064299367,-0.692337612,1.309343059,0.167692504
1998,0.283322134,0.623336147,-1.391087357,-0.418038249,0.529582365,0.236299648,0.979082214,-1.029316071,-0.427902173,0.039388494,-0.882438772,0.445357999,0.884002692,-0.100683675,-1.390484946,-1.566953942,-0.461120017,1.346014285,-2.102855161,-0.293430377,-0.453330234,-0.607788256,-0.555807532,-0.917149206,-1.038506418,0.427903955,-0.301638556
1999,-0.697408329,0.18667619,-2.154602507,-0.967344548,0.511546024,-0.179319591,0.763940787,-1.044527639,-0.929580582,0.354496443,-0.921203357,0.320003737,-0.367960512,0.108803326,-2.773787635,-1.170214539,0.567393771,0.760093197,-3.005889062,-1.006703697,-0.769665067,-0.744411376,-0.697047098,-0.200670551,-1.338000778,0.692629173,-0.565490547
2000,-1.269501099,-1.066489189,-2.398554908,-2.086152231,-0.426454332,-1.03988604,0.16456432,-1.909051728,-2.34423992,-0.997841839,-1.883349086,-0.543461335,-1.323760377,-1.144870816,-2.859974718,-4.182433446,-2.269575085,-0.321607272,-3.352696763,-2.532081977,-1.306853091,-1.890568574,-1.19914381,-1.467580047,-4.834694671,-0.827437507,-1.742834444
